eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85150342498,,,,LARGE-SCALE REPRESENTATION LEARNING ON GRAPHS VIA BOOTSTRAPPING,cp,Conference Paper,Thakoor S.,,DeepMind,,,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,5,0,,,,,
2-s2.0-85150342209,,,,SPHERICAL MESSAGE PASSING FOR 3D MOLECULAR GRAPHS,cp,Conference Paper,Liu Y.,,Texas A&amp;M University,College Station,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,6,0,,,,,
2-s2.0-85150342163,,,,VARIATIONAL INFERENCE FOR DISCRIMINATIVE LEARNING WITH GENERATIVE MODELING OF FEATURE INCOMPLETION,cp,Conference Paper,Miyaguchi K.,,IBM Research,Yorktown Heights,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150342052,,,,STRONGLY SELF-NORMALIZING NEURAL NETWORKS WITH APPLICATIONS TO IMPLICIT REPRESENTATION LEARNING,cp,Conference Paper,Anonymous ,,,,,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150341723,,,,DISCOVERING AND EXPLAINING THE REPRESENTATION BOTTLENECK OF DNNS,cp,Conference Paper,Deng H.,,Shanghai Jiao Tong University,Shanghai,China,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150341653,,,,DEMYSTIFYING BATCH NORMALIZATION IN RELU NETWORKS: EQUIVALENT CONVEX OPTIMIZATION MODELS AND IMPLICIT REGULARIZATION,cp,Conference Paper,Ergen T.,,Stanford University,Palo Alto,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150341574,,,,SELECTIVE TOKEN GENERATION FOR FEW-SHOT LANGUAGE MODELING,cp,Conference Paper,Anonymous ,,,,,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150341562,,,,PHENOMENOLOGY OF DOUBLE DESCENT IN FINITE-WIDTH NEURAL NETWORKS,cp,Conference Paper,Singh S.P.,,Max Planck Institute for Intelligent Systems;ETH Zürich,"Tubingen;Zurich ZH,",Germany;Switzerland,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150341561,,,,PROVABLY ROBUST ADVERSARIAL EXAMPLES,cp,Conference Paper,Dimitrov D.I.,,ETH Zürich,"Zurich ZH,",Switzerland,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150341533,,,,BDDM: BILATERAL DENOISING DIFFUSION MODELS FOR FAST AND HIGH-QUALITY SPEECH SYNTHESIS,cp,Conference Paper,Lam M.W.Y.,,Tencent,Shenzhen,China,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,3,0,,,,,
2-s2.0-85150341477,,,,OUT-OF-DISTRIBUTION GENERALIZATION IN THE PRESENCE OF NUISANCE-INDUCED SPURIOUS CORRELATIONS,cp,Conference Paper,Puli A.,,New York University,New York,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,1,0,,,,,
2-s2.0-85150341474,,,,FRAME AVERAGING FOR INVARIANT AND EQUIVARIANT NETWORK DESIGN,cp,Conference Paper,Puny O.,,Weizmann Institute of Science Israel,Rehovot,Israel,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150341448,,,,SPARSE ATTENTION WITH LEARNING-TO-HASH,cp,Conference Paper,Sun Z.,,Carnegie Mellon University,Pittsburgh,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150341444,,,,Model Zoo: A Growing “Brain” That Learns Continually,cp,Conference Paper,Ramesh R.,,University of Pennsylvania,Philadelphia,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,1,0,,,,,
2-s2.0-85150341323,,,,UNRAVELING MODEL-AGNOSTIC META-LEARNING VIA THE ADAPTATION LEARNING RATE,cp,Conference Paper,Zou Y.,,National University of Singapore,Singapore City,Singapore,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150340850,,,,IBOT: IMAGE BERT PRE-TRAINING WITH ONLINE TOKENIZER,cp,Conference Paper,Zhou J.,,ByteDance Ltd.,Beijing,China,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,5,0,,,,,
